original,uniformat,equivalent
"Padilla, A Jorge",A Jorge Padilla,"['Padilla, A Jorge', 'Padilla, A. Jorge', 'A. Jorge Padilla']"
"Kate, A",A Kate,"['Kate, A']"
"Levine, A L",A L Levine,"['Levine, A L']"
"Nagar, A L",A L Nagar,"['Nagar, A L', 'Nagar, Anirudh L.', 'Nagar, Anirudh L']"
"Soyster, A L",A L Soyster,"['Soyster, A L']"
"Stroyny, A L",A L Stroyny,"['Stroyny, A L']"
"Bovenberg, A Lans",A Lans Bovenberg,"['Bovenberg, A Lans', 'Lans Bovenberg, A.', 'de Bovenberg, A Lans', 'Bovenberg, A. L.', 'Bovenberg, A. Lans']"
"Buoncristiani, A M",A M Buoncristiani,"['Buoncristiani, A M']"
"Mood, A M",A M Mood,"['Mood, A M']"
"Over, A Mead, Jr",A Mead Over,"['Over, A Mead, Jr']"
"Spence, A Michael",A Michael Spence,"['Spence, A Michael', 'A. Michael Spence']"
"Freeman, A Myrick, III",A Myrick Freeman,"['Freeman, A Myrick, III']"
"Converse, A O",A O Converse,"['Converse, A O', 'Converse, Alvin O.']"
"Budd, A P",A P Budd,"['Budd, A P', 'Budd, Alan']"
"Lerner, A P",A P Lerner,"['Lerner, A P', 'A. P. Lerner', 'Lerner, Abba P', 'Abba P. Lerner']"
"Parikh, A",A Parikh,"['Parikh, A', 'Parikh, Ashok', 'Parikh, A.']"
"Appleyard, A R",A R Appleyard,"['Appleyard, A R']"
"Bergstrom, A R",A R Bergstrom,"['Bergstrom, A R', 'Bergstrom, Albert Rex', 'A. R. Bergstrom']"
"Affleck, A R P",A R P Affleck,"['Affleck, A R P']"
"Prest, A R",A R Prest,"['Prest, A R', 'Prest, A. R.', 'A. R. Prest']"
"Reconciliation, A",A Reconciliation,"['Reconciliation, A']"
"Shepherd, A Ross",A Ross Shepherd,"['Shepherd, A Ross']"
"MacDonald, A S",A S MacDonald,"['MacDonald, A S']"
"Sastry, A S Rama",A S Rama Sastry,"['Sastry, A S Rama', 'Rama Sastry, A S']"
"Rao, A S",A S Rao,"['Rao, A S']"
"Sandmo, A",A Sandmo,"['Sandmo, A', 'Sandmo, Agnar', 'Agnar Sandmo', 'A. Sandmo']"
"Shaked, A",A Shaked,"['Shaked, A', 'Shaked, Avner', 'Avner Shaked']"
"Simonovits, A",A Simonovits,"['Simonovits, A', 'Simonovits, Andras']"
"Skouras, A",A Skouras,"['Skouras, A']"
"Eapen, A T",A T Eapen,"['Eapen, A T']"
"Tamir, A",A Tamir,"['Tamir, A', 'Tamir, Arie']"
"King, A Thomas",A Thomas King,"['King, A Thomas']"
"Goudie, A W",A W Goudie,"['Goudie, A W']"
"Khandker, A Wahhab",A Wahhab Khandker,"['Khandker, A Wahhab', 'Khandker, A. Wahhab']"
"Analysis, A Welfare",A Welfare Analysis,"['Analysis, A Welfare']"
"Zabalza, A",A Zabalza,"['Zabalza, A', 'Zabalza, Antonio', 'A. Zabalza', 'Zabalza, A.', 'Zabalza, Antoni']"
A ndreas F reytag,A ndreas F reytag,['A ndreas F reytag']
"Elbashir, A. A.",A. A. Elbashir,"['Elbashir, A. A.']"
"Shamseldin, A. A.",A. A. Shamseldin,"['Shamseldin, A. A.']"
"Stevenson, A. A.",A. A. Stevenson,"['Stevenson, A. A.', 'Stevenson, Andrew A']"
A. Abramson,A. Abramson,['A. Abramson']
"Trindade, A. Alexandre",A. Alexandre Trindade,"['Trindade, A. Alexandre', 'Trindade, André']"
"Asimakopulos, A.",A. Asimakopulos,"['Asimakopulos, A.', 'A. Asimakopulos', 'Asimakopulos, A']"
"Author, A.",A. Author,"['Author, A.']"
A. B. Araoz,A. B. Araoz,['A. B. Araoz']
A. B. Balcom,A. B. Balcom,['A. B. Balcom']
"Jonas, A. B.",A. B. Jonas,"['Jonas, A. B.']"
"Tsybakov, A. B.",A. B. Tsybakov,"['Tsybakov, A. B.', 'Tsybakov, A.']"
A. B. Wolfe,A. B. Wolfe,['A. B. Wolfe']
"Babeau, A.",A. Babeau,"['Babeau, A.']"
A. Beacham,A. Beacham,['A. Beacham']
"Berry, A.",A. Berry,"['Berry, A.', 'Berry, Albert']"
"Black, A.",A. Black,"['Black, A.', 'A. G. Black']"
"Borsu, A.",A. Borsu,"['Borsu, A.']"
"Burak Güner, A.",A. Burak Güner,"['Burak Güner, A.', 'A. Burak Güner']"
"Atkinson, A. C.",A. C. Atkinson,"['Atkinson, A. C.', 'Atkinson, Anthony']"
A. C. Cope,A. C. Cope,['A. C. Cope']
"Vorst, A. C. F.",A. C. F. Vorst,"['Vorst, A. C. F.']"
A. C. Hodge,A. C. Hodge,['A. C. Hodge']
A. C. Pigou,A. C. Pigou,['A. C. Pigou']
A. C. Pritchard,A. C. Pritchard,"['A. C. Pritchard', 'Pritchard, A.C.']"
"Rayner, A. C.",A. C. Rayner,"['Rayner, A. C.', 'A. C. Rayner', 'Rayner, A C']"
A. C. Whitaker,A. C. Whitaker,['A. C. Whitaker']
"Charnes, A.",A. Charnes,"['Charnes, A.', 'Charnes, A', 'A. Charnes']"
"Chatterjee, A.",A. Chatterjee,"['Chatterjee, A.', 'Chatterjee, Arpita']"
A. Church,A. Church,['A. Church']
"Cameron, A. Colin",A. Colin Cameron,"['Cameron, A. Colin', 'Colin Cameron, A.', 'A. Colin Cameron', 'A. C. Cameron']"
"Burnside, A. Craig",A. Craig Burnside,"['Burnside, A. Craig']"
A. Craig MacKinlay,A. Craig MacKinlay,"['A. Craig MacKinlay', 'MacKinlay, A. Craig', 'MacKinlay, A Craig', 'Craig MacKinlay, A.']"
A. Craig Mackinlay,A. Craig Mackinlay,['A. Craig Mackinlay']
"Csernok, A.",A. Csernok,"['Csernok, A.']"
"Clare, A. D.",A. D. Clare,"['Clare, A. D.', 'Clare, Andrew D', 'Clare, A D', 'Clare, Andrew']"
A. D. Gayer,A. D. Gayer,['A. D. Gayer']
"Hall, A. D.",A. D. Hall,"['Hall, A. D.', 'A. D. Hall', 'Alastair Hall', 'Hall, Anthony D.', 'Hall, Anthony D']"
A. D. Roy,A. D. Roy,['A. D. Roy']
A. D. Weber,A. D. Weber,"['A. D. Weber', 'Weber, AndrePaul', 'Andrea Weber']"
A. Dale Tussing,A. Dale Tussing,['A. Dale Tussing']
A. David Redding,A. David Redding,['A. David Redding']
"Denny Ellerman, A.",A. Denny Ellerman,"['Denny Ellerman, A.', 'A. Denny Ellerman']"
"Direr, A.",A. Direr,"['Direr, A.']"
A. Douglas,A. Douglas,"['A. Douglas', 'Alan V. S. Douglas', 'Douglas, A J', 'Douglas, Aaron J']"
"Dramais, A.",A. Dramais,"['Dramais, A.', 'Dramais, Andre']"
A. E. Jasay,A. E. Jasay,"['A. E. Jasay', 'A. E. de Jasay']"
A. E. Monroe,A. E. Monroe,['A. E. Monroe']
"Woodfield, A. E.",A. E. Woodfield,"['Woodfield, A. E.', 'Alan Woodfield', 'Woodfield, A']"
A. F. McGoun,A. F. McGoun,['A. F. McGoun']
"Shorrocks, A. F.",A. F. Shorrocks,"['Shorrocks, A. F.', 'Shorrocks, A F', 'A. F. Shorrocks', 'Anthony F. Shorrocks', 'Anthony Shorrocks', 'Shorrocks, Anthony', 'Shorrocks, Anthony F', 'Shorrocks, Anthony F.']"
"Foglia, A.",A. Foglia,"['Foglia, A.', 'Foglia, Antonella']"
"Jacob, A. Frenkel",A. Frenkel Jacob,"['Jacob, A. Frenkel']"
A. G. Chandavarkar,A. G. Chandavarkar,['A. G. Chandavarkar']
A. G. Hines,A. G. Hines,"['A. G. Hines', 'Hines, A G']"
A. G. Malliaris,A. G. Malliaris,"['A. G. Malliaris', 'Malliaris, A. G.', 'Malliaris, A.G.']"
A. G. Sleeman,A. G. Sleeman,['A. G. Sleeman']
"George Assaf, A.",A. George Assaf,"['George Assaf, A.', 'Assaf, A. George']"
"Grané, A.",A. Grané,"['Grané, A.']"
"Gunasekaran, A.",A. Gunasekaran,"['Gunasekaran, A.']"
A. H. Cole,A. H. Cole,"['A. H. Cole', 'Arthur H. Cole']"
A. H. Schaaf,A. H. Schaaf,['A. H. Schaaf']
A. H. Studenmund,A. H. Studenmund,['A. H. Studenmund']
A. H. Turunen-Red,A. H. Turunen-Red,"['A. H. Turunen-Red', 'Turunen-Red, Arja H.', 'Turunen-Red, Arja H']"
A. H. Wurtz,A. H. Wurtz,['A. H. Wurtz']
A. Hagger,A. Hagger,['A. Hagger']
A. Haurie,A. Haurie,['A. Haurie']
A. Henderson,A. Henderson,"['A. Henderson', 'A. M. Henderson', 'Alexander Henderson']"
"Hughes Hallett, A.",A. Hughes Hallett,"['Hughes Hallett, A.', 'Hughes Hallett, A J', 'Hughes Hallett, A. J.', 'Hallett, A. J. Hughes', 'Hughes Hallett, Andrew']"
"Freeman, A. III",A. III Freeman,"['Freeman, A. III']"
A. Ingham,A. Ingham,['A. Ingham']
"Buxton, A. J.",A. J. Buxton,"['Buxton, A. J.']"
A. J. Culyer,A. J. Culyer,"['A. J. Culyer', 'Culyer, A. J.']"
"Hand, A. J.",A. J. Hand,"['Hand, A. J.']"
A. J. L. Catt,A. J. L. Catt,['A. J. L. Catt']
A. J. Nichol,A. J. Nichol,['A. J. Nichol']
"Oskam, A. J.",A. J. Oskam,"['Oskam, A. J.']"
A. J. Preston,A. J. Preston,['A. J. Preston']
"Venables, A. J.",A. J. Venables,"['Venables, A. J.', 'Anthony Venables', 'Venables, A J', 'Venables, Anthony J.', 'Anthony J. Venables', 'Venables, Anthony J']"
A. J. Wensley,A. J. Wensley,['A. J. Wensley']
"Meigs, A. James",A. James Meigs,"['Meigs, A. James', 'A. James Meigs']"
"John, A.",A. John,"['John, A.', 'John, A Andrew', 'John, A.Andrew', 'John, A', 'Andrew John']"
"Warburton, A. Joseph",A. Joseph Warburton,"['Warburton, A. Joseph']"
A. Joshua Strickland,A. Joshua Strickland,['A. Joshua Strickland']
"Over, A. Jr.",A. Jr. Over,"['Over, A. Jr.']"
A. K. Cairncross,A. K. Cairncross,['A. K. Cairncross']
"Mahbub Morshed, A. K. M.",A. K. M. Mahbub Morshed,"['Mahbub Morshed, A. K. M.']"
"Srivastava, A. K.",A. K. Srivastava,"['Srivastava, A. K.', 'Srivastava, Anup', 'Srivastav, Abhishek', 'Srivastava, Anil K.']"
"Kamil Tahmiscioglu, A.",A. Kamil Tahmiscioglu,"['Kamil Tahmiscioglu, A.']"
A. Kerem Co?ar,A. Kerem Co?ar,['A. Kerem Co?ar']
A. Kerem Cosar,A. Kerem Cosar,['A. Kerem Cosar']
"Coşar, A. Kerem",A. Kerem Coşar,"['Coşar, A. Kerem']"
A. Kervyn,A. Kervyn,['A. Kervyn']
A. Krishnaswami,A. Krishnaswami,['A. Krishnaswami']
"Ananthanarayanan, A. L.",A. L. Ananthanarayanan,"['Ananthanarayanan, A. L.', 'Ananthanarayanan, A L']"
"Robb, A. L.",A. L. Robb,"['Robb, A. L.', 'Robb, A Leslie']"
"Lambert-Mogiliansky, A.",A. Lambert-Mogiliansky,"['Lambert-Mogiliansky, A.', 'Lambert-Mogiliansky, Ariane']"
"Langhout, A.",A. Langhout,"['Langhout, A.']"
A. Lieberman,A. Lieberman,['A. Lieberman']
A. M. Agapos,A. M. Agapos,"['A. M. Agapos', 'Agapos, A M']"
"Endres, A. M.",A. M. Endres,"['Endres, A. M.']"
A. M. Neuman,A. M. Neuman,['A. M. Neuman']
"Pole, A. M.",A. M. Pole,"['Pole, A. M.']"
A. M. Quintero‐Ramos,A. M. Quintero‐Ramos,['A. M. Quintero‐Ramos']
"Robert Taylor, A. M.",A. M. Robert Taylor,"['Robert Taylor, A. M.', 'Alan M. Taylor', 'Taylor, Amy', 'Taylor, Alan M.', 'Alan Taylor', 'Robert Taylor, A.M.', 'Taylor, A.M. Robert', 'Taylor, A. M. Robert', 'A. M. Robert Taylor', 'Taylor, A M Robert', 'Taylor, Alex P.', 'Alex P. Taylor', 'Taylor, Alan M']"
A. M. Ross,A. M. Ross,"['A. M. Ross', 'Arthur M. Ross']"
A. M. Sakolski,A. M. Sakolski,['A. M. Sakolski']
A. M. Sakolzki,A. M. Sakolzki,['A. M. Sakolzki']
A. M. Wergeland,A. M. Wergeland,['A. M. Wergeland']
A. Maneschi,A. Maneschi,"['A. Maneschi', 'Maneschi, Andrea']"
"Oestreich, A. Marcel",A. Marcel Oestreich,"['Oestreich, A. Marcel']"
A. Maria Toyoda,A. Maria Toyoda,['A. Maria Toyoda']
"Markandya, A.",A. Markandya,"['Markandya, A.', 'Markandya, Anil']"
"Merrill, A.",A. Merrill,"['Merrill, A.', 'Merrill, Angela']"
A. Mitchell Polinsky,A. Mitchell Polinsky,"['A. Mitchell Polinsky', 'Mitchell Polinsky, A.', 'Polinsky, A Mitchell', 'Polinsky, A. Mitchell']"
"Monfort, A.",A. Monfort,"['Monfort, A.', 'Alain Monfort', 'Monfort, Alain', 'Monfort, Alan', 'Monfort, A']"
"Moreau, A.",A. Moreau,"['Moreau, A.', 'Arthur F. Moreau', 'Moreau, Arthur F.', 'Moreau, Arthur F']"
A. Mushfiq Mobarak,A. Mushfiq Mobarak,"['A. Mushfiq Mobarak', 'Ahmed Mushfiq Mobarak', 'Mushfiq Mobarak, A.']"
A. Myrick Freeman III,A. Myrick Freeman III,['A. Myrick Freeman III']
A. N. Holcombe,A. N. Holcombe,['A. N. Holcombe']
A. N. McLeod,A. N. McLeod,['A. N. McLeod']
A. Nataf,A. Nataf,['A. Nataf']
"Newell, A.",A. Newell,"['Newell, A.']"
A. Norets,A. Norets,"['A. Norets', 'Andriy Norets', 'Norets, Andriy']"
A. P. Andrew,A. P. Andrew,"['A. P. Andrew', 'Atkeson Andrew', 'A. Piatt Andrew']"
"Dempster, A. P.",A. P. Dempster,"['Dempster, A. P.']"
"Huijser, A. P.",A. P. Huijser,"['Huijser, A. P.']"
"Abrahamse, A. P. J.",A. P. J. Abrahamse,"['Abrahamse, A. P. J.']"
"Thirlwall, A. P.",A. P. Thirlwall,"['Thirlwall, A. P.', 'A.P. Thirlwall', 'Thirlwall, A P', 'A. P. Thirlwall']"
A. P. Winston,A. P. Winston,['A. P. Winston']
"Xepapadeas, A. P.",A. P. Xepapadeas,"['Xepapadeas, A. P.', 'Xepapadeas, A.', 'Xepapadeas, Anastasios', 'Anastasios Xepapadeas']"
"Paradiso, A.",A. Paradiso,"['Paradiso, A.']"
"van Slijpe, A. R. D.",A. R. D. van Slijpe,"['van Slijpe, A. R. D.']"
A. R. Dobell,A. R. Dobell,['A. R. Dobell']
"Hwang, A. R.",A. R. Hwang,"['Hwang, A. R.']"
A. R. Tremayne,A. R. Tremayne,['A. R. Tremayne']
A. Robert Nobay,A. Robert Nobay,"['A. Robert Nobay', 'Nobay, A R', 'Nobay, A Robert']"
"Ronald Gallant, A.",A. Ronald Gallant,"['Ronald Gallant, A.', 'A. Ronald Gallant', 'Gallant, A Ronald', 'Gallant, A. Ronald']"
"Thurik, A. Roy",A. Roy Thurik,"['Thurik, A. Roy', 'A. Roy Thurik']"
A. Rubner,A. Rubner,['A. Rubner']
A. S. Courakis,A. S. Courakis,"['A. S. Courakis', 'Courakis, Anthony S', 'Courakis, A S']"
A. S. Dewing,A. S. Dewing,"['A. S. Dewing', 'Arthur S. Dewing']"
A. S. Goldberger,A. S. Goldberger,"['A. S. Goldberger', 'Arthur S. Goldberger', 'Goldberger, Arthur S', 'Goldberger, Arthur S.']"
"Louter, A. S.",A. S. Louter,"['Louter, A. S.']"
"Barbosa, A. S. Pinto",A. S. Pinto Barbosa,"['Barbosa, A. S. Pinto', 'Barbosa, A.']"
"Saint-Martin, A.",A. Saint-Martin,"['Saint-Martin, A.']"
"Scott, A.",A. Scott,"['Scott, A.', 'Anthony Scott', 'Andrew Scott', 'A. D. Scott', 'Scott, Alasdair', 'Scott, Anthony', 'Scott, Andrew', 'Scott, Alex']"
A. Shenfield,A. Shenfield,['A. Shenfield']
"Cebenoyan, A. Sinan",A. Sinan Cebenoyan,"['Cebenoyan, A. Sinan', 'Cebenoyan, A Sinan']"
"Swimmer, A.",A. Swimmer,"['Swimmer, A.']"
"Tolga Ergün, A.",A. Tolga Ergün,"['Tolga Ergün, A.']"
A. Tustin,A. Tustin,['A. Tustin']
"Ullah, A.",A. Ullah,"['Ullah, A.', 'Ullah, Aman', 'Aman Ullah']"
A. V. Arragon,A. V. Arragon,['A. V. Arragon']
A. V. de Ridder,A. V. de Ridder,['A. V. de Ridder']
"Anwar, A. W.",A. W. Anwar,"['Anwar, A. W.']"
A. W. Coats,A. W. Coats,"['A. W. Coats', 'Coats, A W']"
A. W. Flux,A. W. Flux,['A. W. Flux']
A. W. Richter,A. W. Richter,"['A. W. Richter', 'Richter, Andreas', 'Richter, Alexander W.']"
A. W. Shaw,A. W. Shaw,['A. W. Shaw']
"Whinston, A.",A. Whinston,"['Whinston, A.', 'Andrew Whinston', 'Andrew B. Whinston', 'A. B. Whinston', 'Whinston, Andrew B.', 'Whinston, Andrew B', 'Whinston, Andrew']"
A. Wilfred May,A. Wilfred May,['A. Wilfred May']
"Wong, A.",A. Wong,"['Wong, A.', 'Wong, Alfred Y-T.', 'Wong, Adam Chi Leung']"
"Yavas, A.",A. Yavas,"['Yavas, A.', 'Yavas, Abdullah']"
"Z., A.",A. Z.,"['Z., A.']"
"Zaman, A.",A. Zaman,"['Zaman, A.', 'Zaman, Ashraf Al', 'Zaman, Asad']"
A. Zauberman,A. Zauberman,"['A. Zauberman', 'Alfred Zauberman']"
A. de Foville,A. de Foville,['A. de Foville']
"de Janvry, A.",A. de Janvry,"['de Janvry, A.', 'Janvry, Alan de', 'Alain de Janvry', 'Janvry, Alain de', 'Alain Janvry', 'de Janvry, Alain']"
"Geourjon, A.-M.",A.-M. Geourjon,"['Geourjon, A.-M.']"
"McClelland, A.J.",A.J. McClelland,"['McClelland, A.J.', 'McClelland, Andrew']"
"Heins, A.James",A.James Heins,"['Heins, A.James', 'Heins, A. James', 'A. James Heins', 'Heins, A James']"
"Khaliq, A.Q.M.",A.Q.M. Khaliq,"['Khaliq, A.Q.M.']"
"Hurn, A.S.",A.S. Hurn,"['Hurn, A.S.', 'Hurn, A S']"
"Beggs, A.W.",A.W. Beggs,"['Beggs, A.W.', 'Alan Beggs', 'A. W. Beggs', 'Beggs, Alan W']"
"Blomqvist, AG.",AG. Blomqvist,"['Blomqvist, AG.', 'Blomqvist, A.', 'Blomqvist, A. G.']"
AN ALTI,AN ALTI,['AN ALTI']
AYDO&Gbreve,AYDO&Gbreve,['AYDO&Gbreve']
"Kleijweg, Aad",Aad Kleijweg,"['Kleijweg, Aad']"
"van Tilburg, Aad",Aad van Tilburg,"['van Tilburg, Aad']"
"Mattoo, Aaditya",Aaditya Mattoo,"['Mattoo, Aaditya', 'Aaditya Mattoo']"
Aakash Mohpal,Aakash Mohpal,"['Aakash Mohpal', 'Mohpal, Aakash']"
"Sheikh, Aamer",Aamer Sheikh,"['Sheikh, Aamer']"
"Sheikh, Aamir M",Aamir M Sheikh,"['Sheikh, Aamir M']"
Aamir Rafique Hashmi,Aamir Rafique Hashmi,['Aamir Rafique Hashmi']
"Hylland, Aanund",Aanund Hylland,"['Hylland, Aanund']"
"Bodoh-Creed, Aaron",Aaron Bodoh-Creed,"['Bodoh-Creed, Aaron']"
Aaron Chalfin,Aaron Chalfin,['Aaron Chalfin']
"Gilbert, Aaron",Aaron Gilbert,"['Gilbert, Aaron']"
Aaron Goldstein,Aaron Goldstein,['Aaron Goldstein']
"Hedlund, Aaron",Aaron Hedlund,"['Hedlund, Aaron']"
"Chatterji, Aaron K.",Aaron K. Chatterji,"['Chatterji, Aaron K.', 'Aaron K. Chatterji']"
"Han, Aaron K.",Aaron K. Han,"['Han, Aaron K.', 'Han, Aaron K']"
"Kolb, Aaron M.",Aaron M. Kolb,"['Kolb, Aaron M.']"
"Nicholas, Aaron",Aaron Nicholas,"['Nicholas, Aaron']"
"Owens, Aaron",Aaron Owens,"['Owens, Aaron']"
"Popp, Aaron",Aaron Popp,"['Popp, Aaron']"
Aaron Roth,Aaron Roth,['Aaron Roth']
"Edlin, Aaron S.",Aaron S. Edlin,"['Edlin, Aaron S.', 'Edlin, Aaron', 'Aaron S. Edlin', 'Edlin, Aaron S']"
"Smith, Aaron",Aaron Smith,"['Smith, Aaron', 'Smith, A. F. M.', 'Aaron Smith', 'Smith, A.F.M.', 'Aaron D. Smith', 'Smith, A. Lee']"
Aaron Sojourner,Aaron Sojourner,"['Aaron Sojourner', 'Sojourner, Aaron J.']"
Aaron Swoboda,Aaron Swoboda,['Aaron Swoboda']
"Tornell, Aaron",Aaron Tornell,"['Tornell, Aaron', 'Aaron Tornell']"
"Vinokur, Aaron",Aaron Vinokur,"['Vinokur, Aaron']"
"Wildavsky, Aaron",Aaron Wildavsky,"['Wildavsky, Aaron']"
"Yelowitz, Aaron",Aaron Yelowitz,"['Yelowitz, Aaron', 'Aaron S. Yelowitz', 'Aaron Yelowitz', 'Yelowitz, Aaron S.']"
"de Vos, Aart F.",Aart F. de Vos,"['de Vos, Aart F.']"
"Gerritsen, Aart",Aart Gerritsen,"['Gerritsen, Aart']"
Aart Kraay,Aart Kraay,"['Aart Kraay', 'Aart C. Kraay', 'Kraay, Aart']"
"de Zeeuw, Aart",Aart de Zeeuw,"['de Zeeuw, Aart']"
"Rughoo, Aarti",Aarti Rughoo,"['Rughoo, Aarti']"
"Singh, Aarti",Aarti Singh,"['Singh, Aarti']"
"Mehta, Aashish",Aashish Mehta,"['Mehta, Aashish']"
"Husain, Aasim M.",Aasim M. Husain,"['Husain, Aasim M.']"
"Mooijaart, Ab",Ab Mooijaart,"['Mooijaart, Ab']"
"Schwartz, Aba",Aba Schwartz,"['Schwartz, Aba']"
"Krieger, Abba M",Abba M Krieger,"['Krieger, Abba M']"
"Schwartz, Abba",Abba Schwartz,"['Schwartz, Abba']"
"Arabmazar, Abbas",Abbas Arabmazar,"['Arabmazar, Abbas']"
Abbie J. Smith,Abbie J. Smith,"['Abbie J. Smith', 'Smith, Abbie J.', 'Smith, Abbie', 'Smith, A. F. M.', 'Smith, A.F.M.']"
Abbott Payson Usher,Abbott Payson Usher,['Abbott Payson Usher']
"Alpert, Abby",Abby Alpert,"['Alpert, Abby']"
"Senhadji-Semlali, Abdel",Abdel Senhadji-Semlali,"['Senhadji-Semlali, Abdel']"
"Daouia, Abdelaati",Abdelaati Daouia,"['Daouia, Abdelaati']"
Abdelaziz Rouabah,Abdelaziz Rouabah,['Abdelaziz Rouabah']
"Senhadji, Abdelhak S",Abdelhak S Senhadji,"['Senhadji, Abdelhak S', 'Senhadji, Abdelhak S.']"
"Farhat, Abdeljelil",Abdeljelil Farhat,"['Farhat, Abdeljelil']"
"Araar, Abdelkrim",Abdelkrim Araar,"['Araar, Abdelkrim']"
Abdel‐Rahmen El Lahga,Abdel‐Rahmen El Lahga,['Abdel‐Rahmen El Lahga']
"Taamouti, Abderrahim",Abderrahim Taamouti,"['Taamouti, Abderrahim']"
"Yazbeck, Abdo",Abdo Yazbeck,"['Yazbeck, Abdo']"
"Sadrieh, Abdolkarim",Abdolkarim Sadrieh,"['Sadrieh, Abdolkarim', 'Abdolkarim Sadrieh']"
"Nazemi, Abdolreza",Abdolreza Nazemi,"['Nazemi, Abdolreza']"
"Abiad, Abdul",Abdul Abiad,"['Abiad, Abdul', 'Abdul Abiad']"
Abdul Azeez Erumban,Abdul Azeez Erumban,['Abdul Azeez Erumban']
Abdul G. Noury,Abdul G. Noury,['Abdul G. Noury']
"Kayoumy, Abdul Hay",Abdul Hay Kayoumy,"['Kayoumy, Abdul Hay']"
"Rahman, Abdul",Abdul Rahman,"['Rahman, Abdul']"
"Shifa, Abdulaziz B.",Abdulaziz B. Shifa,"['Shifa, Abdulaziz B.']"
"Mohamed, Abdulkadir",Abdulkadir Mohamed,"['Mohamed, Abdulkadir']"
"Chowdhury, Abdur R",Abdur R Chowdhury,"['Chowdhury, Abdur R']"
"Aydemir, Abdurrahman B.",Abdurrahman B. Aydemir,"['Aydemir, Abdurrahman B.', 'Abdurrahman Aydemir']"
"de Jong, Abe",Abe de Jong,"['de Jong, Abe']"
Abebe Shimeles,Abebe Shimeles,['Abebe Shimeles']
"Cadenillas, Abel",Abel Cadenillas,"['Cadenillas, Abel']"
Abel Winn,Abel Winn,['Abel Winn']
"Oduro, Abena",Abena Oduro,"['Oduro, Abena']"
Abera Gelan,Abera Gelan,['Abera Gelan']
"Abhyankar, Abhay",Abhay Abhyankar,"['Abhyankar, Abhay', 'Abhyankar, A']"
"Singh, Abhijeet",Abhijeet Singh,"['Singh, Abhijeet']"
"Ramalingam, Abhijit",Abhijit Ramalingam,"['Ramalingam, Abhijit']"
"Sengupta, Abhijit",Abhijit Sengupta,"['Sengupta, Abhijit', 'Abhijit Sengupta']"
"Banerjee, Abhijit V",Abhijit V Banerjee,"['Banerjee, Abhijit V', 'Banerjee, Abhijit', 'Banerjee, Abhijit Vinayak', 'Abhijit V. Banerjee', 'Banerjee, Abhijit V.', 'Abhijit Banerjee']"
"Gupta, Abhimanyu",Abhimanyu Gupta,"['Gupta, Abhimanyu']"
"Anand, Abhinav",Abhinav Anand,"['Anand, Abhinav']"
